countries_row	years_column	value
8	34	99.43267059
9	34	99.41197205
10	34	99.36986542
11	34	99
12	34	99.22132874
13	34	99.4
14	34	99.02339935
15	34	98.92108154
16	34	98.82460022
17	34	98.74002075
18	34	98.67340851
19	34	98.62932587
20	34	98.60626221
21	34	98.60122681
22	34	99.4
23	34	98.63320923
24	34	98.66422272
25	34	98.70124054
26	34	98.74125671
27	34	98.78178406
1	35	48.11626434
2	35	50.32674789
3	35	49.2
4	35	54.74364471
5	35	56.94444275
6	35	56.5
7	35	61.31544876
8	35	63.47954178
9	35	65.62527466
10	35	67.74959564
11	35	69.85096741
12	35	71.93392181
13	35	74.00453949
14	35	76.06886292
15	35	78.2
16	35	80.20292664
17	35	96.5
18	35	84.38460541
19	35	86.50695038
20	35	88.65032196
21	35	90.81171417
22	35	92.98812866
23	35	95.17656708
24	35	97.37400818
25	35	91.6
26	35	99.58601379
27	35	100
1	36	0.01
2	36	0.010269812
3	36	0.029886074
4	36	0.159723803
5	36	0.559485316
6	36	1.17910111
7	36	2.318697929
8	36	6.6
9	36	4.548945904
10	36	5.633478642
11	36	6.695058823
12	36	5.7
13	36	8.769053459
14	36	8.1
15	36	10.8179121
16	36	11.84807396
17	36	12.89014149
18	36	13.95017719
19	36	13.57122385
20	36	15
21	36	17.25792313
22	36	20.2
23	36	19.54319191
24	36	20.70084572
25	36	21.86450768
26	36	24
27	36	24.19833946
1	37	25.2347908
2	37	26.31731606
3	37	26.4
4	37	28.47828865
5	37	29.55112839
6	37	30.61478996
7	37	31.66621399
8	37	32.70234299
9	37	33.72011948
10	37	34.71648026
11	37	36.5
12	37	36.64488602
13	37	37.58753967
14	37	38.52390671
15	37	39.4600563
16	37	40.4020462
17	37	41.35594177
18	37	43.7
19	37	43.32218933
20	37	44.33760071
21	37	45.37103653
22	37	46.41949081
23	37	47.4799614
24	37	47.4
25	37	49.62493515
26	37	50.70343018
27	37	51.78242493
1	38	2.290002346
2	38	2.887128115
3	38	4.4
4	38	4.077301025
5	38	4.664740086
6	38	6.2
7	38	7
8	38	6.359755516
9	38	6.7
10	38	7.403091431
11	38	6.481481481
12	38	8.3606987
13	38	8.817951202
14	38	9.268918991
15	38	9.719666481
16	38	7.1
17	38	9.3
18	38	11.1312151
19	38	11.64019966
20	38	12.17021084
21	38	12.71824646
22	38	14.3
23	38	14.4
24	38	14.44045448
25	38	15.03054428
26	38	16.6
27	38	16.21723366
1	39	27.3
2	39	33.55838013
3	39	34.61891174
4	39	35.67638779
5	39	36.72774506
6	39	37.76992416
7	39	38.79986954
8	39	39.81451416
9	39	40.81081009
10	39	44.9
11	39	42.73761368
12	39	43.67113113
13	39	44.59230042
14	39	52.2
15	39	46.42185211
16	39	47.34236145
17	39	48.27477646
18	39	50.13091943
19	39	50.3
20	39	51.1919899
21	39	48
22	39	55.9
23	39	54.26990509
24	39	55.6
25	39	56.37191391
26	39	52.5
27	39	59.3
1	40	0.01
2	40	0.01
3	40	2.3
4	40	0.0427722
5	40	0.188256279
6	40	0.577478111
7	40	1.162302732
8	40	2.141790152
9	40	3.102922916
10	40	4.042642117
11	40	6.2
12	40	5.857765675
13	40	6.743775368
14	40	7.623501778
15	40	8.503006935
16	40	4.8
17	40	10.28560829
18	40	11.20083046
19	40	6
20	40	13.09734249
21	40	9.7
22	40	10.8
23	40	16.06977654
24	40	15.2
25	40	19.8
26	40	22.8
27	40	29.37
1	41	42.75796509
2	41	43.6918335
3	41	44.62519073
4	41	45.55548859
5	41	46.47967148
6	41	47.39467239
7	41	48.29743958
8	41	49.18491364
9	41	50.05402756
10	41	50.9017334
11	41	52.9
12	41	52.53282166
13	41	53.32681656
14	41	54.11452866
15	41	54.90201569
16	41	55.69534683
17	41	56.50058746
18	41	57.3237915
19	41	58.16951752
20	41	56.9
21	41	59.92104721
22	41	60.82084274
23	41	57.9
24	41	62.65348053
25	41	68.6
26	41	64.51014709
27	41	65.44048309
1	42	25.13053513
2	42	26.65760231
3	42	28.18415833
4	42	26
5	42	31.22503471
6	42	32.73323822
7	42	34.22920227
8	42	32.2
9	42	37.17218781
10	42	36.2
11	42	62.2570631
12	42	41.43057632
13	42	36.8
14	42	44.19868088
15	42	36.8
16	42	47.1
17	42	49.9
18	42	49.78073883
19	42	51.21966171
20	42	53.5
21	42	54.15758896
22	42	56.5
23	42	57.15559769
24	42	57
25	42	61
26	42	60.5
27	42	64.5
1	43	89.54558563
2	43	90.01955414
3	43	90.49301147
4	43	90.96340942
5	43	90
6	43	91.88279724
7	43	92.32566833
8	43	92
9	43	93.16246033
10	43	93.55026245
11	43	93.91511536
12	43	94.26155853
13	43	96.1
14	43	94.92346954
15	43	95.25106049
16	43	95.58448792
17	43	99
18	43	96.2931366
19	43	96.67896271
20	43	97.08582306
21	43	97
22	43	97.95059967
23	43	98.40927124
24	43	98
25	43	99.29888916
26	43	99.67832184
27	43	100
1	44	7.0815382
2	44	7.520792484
3	44	7.959536552
4	44	8.39522171
5	44	8.824788094
6	44	9.245178223
7	44	9.653330803
8	44	10.04618835
9	44	10.42069149
10	44	10.77378082
11	44	11.10391712
12	44	11.41564369
13	44	11.71502399
14	44	12.00812054
15	44	16.8
16	44	11.33248552
17	44	12.91033745
18	44	13.23892975
19	44	12.1
20	44	13.96218109
21	44	11.46217307
22	44	14.2
23	44	15.17472649
24	44	13.5
25	44	16.03315544
26	44	16.46837616
27	44	20.3
1	45	0.01
2	45	0.01
3	45	0.01
4	45	0.01
5	45	0.024699653
6	45	0.136908397
7	45	0.525144458
8	45	0.950777709
9	45	2.487471581
10	45	4.002751827
11	45	5.495079517
12	45	6.968997478
13	45	7.4
14	45	9.885855675
15	45	11.34092236
16	45	12.80183125
17	45	15.23378582
18	45	15.76542854
19	45	17.2787323
20	45	18.81306267
21	45	20.36541748
22	45	21.93279076
23	45	23.51218033
24	45	25.10058212
25	45	26.69499207
26	45	28.29240417
27	45	29.89031792
1	46	59.33794022
2	46	60.57508087
3	46	61.81171036
4	46	63.04528427
5	46	64.2727356
6	46	65.49101257
7	46	57.6
8	46	67.88779449
9	46	64.9
10	46	70.21115875
11	46	71.33917999
12	46	70.2
13	46	77.1
14	46	78.8
15	46	80.9
16	46	80.9
17	46	80.7
18	46	82
19	46	81.9
20	46	82.7
21	46	82.9
22	46	84.7
23	46	85.3
24	46	85.4
25	46	86
26	46	85.5
27	46	84.2
1	47	0.01
2	47	0.01
3	47	0.01
4	47	0.01
5	47	0.01
6	47	0.01
7	47	0.01
8	47	0.01
